,PC1,PC2,PC3,vaccine,words,tsne1,tsne2,tsne3,cluster,aa
4667,-0.51006571,0.214947215,0.093402432,No,finance,10.294681,-13.247669,-19.302965,0,2
3697,-0.508308011,-0.161135776,0.079854548,No,diversion,-18.152267,-16.34257,-12.401484,0,2
9818,-0.506088642,0.113061839,0.367678248,No,regulator,7.1958017,-22.267044,-14.999515,2,2
5390,-0.505045907,-0.010857291,0.216784474,No,hailed,-7.3272614,-16.977915,-21.64939,2,2
7925,-0.505019359,0.103439385,0.403416772,No,nations,3.3626275,-15.364738,-24.747055,2,2
7750,-0.504519919,-0.050510304,-0.161491558,No,moral,-8.170288,-10.126622,-21.388474,0,2
12295,-0.503786456,0.064789248,-0.044122385,No,unprecedented,-7.585678,-5.022374,-23.795622,0,2
238,-0.50362878,-0.183997873,0.22035503,Yes,8/28/2020,-0.45436755,-27.483143,-11.444496,2,2
2184,-0.503254227,0.229277836,0.441686262,No,capacity,3.71299,-16.96235,-21.541903,2,2
11125,-0.502455413,0.021065729,-0.020743806,No,statement,-4.431972,-4.16217,-28.20934,0,2
9504,-0.501934904,0.302481324,0.20374805,No,pvt,9.994758,-13.517709,-16.238108,2,2
9525,-0.501671042,0.062369126,0.015297562,No,quality,-1.6526294,-23.756739,-15.844254,0,2
3968,-0.501460587,-0.018739339,0.043806467,No,economic,-9.6777,-10.007137,-23.02027,0,2
3515,-0.501025183,-0.061026553,0.259913737,No,developing,0.6843051,-21.916298,-20.103119,2,2
11131,-0.500741924,-0.125463402,-0.101447421,No,static,-20.880404,-8.713075,-16.741438,0,2
2345,-0.500738571,0.13446503,0.090612254,No,chain,-3.9953153,-7.4037523,-25.027561,0,2
2455,-0.500457962,0.046215577,0.58436585,No,chinas,5.661213,-25.36155,-13.61533,2,2
235,-0.500348669,-0.221361713,0.487631454,Yes,8/25/2020,2.200886,-29.006704,-11.472116,2,2
11379,-0.499244769,0.049966617,0.123009709,No,suppliers,1.4917823,-15.321028,-18.62418,0,2
10290,-0.497882603,0.12162,0.09244708,No,sap,-3.4954917,-5.9392242,-26.483738,0,2
2813,-0.49769735,-0.157673135,0.20691808,No,concern,-1.052607,-24.90311,-19.623205,2,2
11239,-0.49757387,0.106697318,-0.045320506,No,strategies,-7.087391,-6.6197515,-23.622244,0,2
9798,-0.497365158,-0.071779336,0.19355735,No,regime,-1.3328646,-17.705086,-19.05927,2,2
12945,-0.496954401,-0.233754166,0.444252078,No,worldwide,0.24859892,-23.045584,-19.416643,2,2
7217,-0.495688433,0.171403106,0.335708557,No,maker,10.351261,-17.339771,-13.817264,2,2
7141,-0.494662341,0.239425686,0.383047041,No,ltd,10.820382,-18.030663,-13.099005,2,2
228,-0.494512428,-0.128920575,0.54794296,Yes,8/18/2020,2.8152518,-28.64298,-11.357356,2,2
7735,-0.493785746,-0.14408029,-0.101778236,No,monopoly,-8.028838,-9.496084,-19.962626,0,2
4699,-0.493228873,-0.042831314,0.237439103,No,firms,1.7760284,-16.614958,-18.934856,2,2
5211,-0.492900726,-0.00963853,0.079950617,No,governments,-1.8256509,-12.219722,-25.738707,0,2
4072,-0.492037923,0.002265119,0.11062694,No,ema,-1.6453269,-21.888916,-13.806377,0,2
249,-0.491534997,-0.215238499,0.474324022,Yes,9/19/2020,1.990481,-28.264732,-10.314044,2,2
237,-0.491129701,-0.159725542,0.428285468,Yes,8/27/2020,2.0453947,-28.819906,-12.002394,2,2
11378,-0.490280238,0.056403232,0.126311778,No,supplier,-0.24722897,-21.424557,-13.910993,0,2
257,-0.490136341,0.054796673,0.474073544,Yes,9/29/2020,4.5080247,-18.030489,-17.270952,2,2
12663,-0.490039445,0.046452121,0.016339016,No,warns,10.784201,5.580814,-26.17217,0,2
12968,-0.489890449,-0.164635028,-0.070265464,No,woven,-20.85972,-8.855497,-16.648487,0,2
9728,-0.489511798,0.088439267,0.219041591,No,recognised,-0.7481046,-24.421999,-18.162506,2,2
12271,-0.489138844,0.176366182,0.487339749,No,united,3.7930546,-16.480194,-21.777151,2,2
7271,-0.488666724,-0.247803556,0.29157898,No,manufacturers,0.3629243,-19.981783,-19.23131,2,2
1434,-0.488422593,0.044150805,0.191895489,No,authorization,3.8214023,-22.334555,-14.088909,2,2
4105,-0.487764158,-0.010664521,0.126140177,No,emphasized,-0.28310516,-20.280552,-15.901815,0,2
188,-0.487073512,-0.133857471,0.472687427,Yes,10/21/2020,2.6377516,-26.666315,-11.5184,2,2
10948,-0.486778637,-0.153680104,0.290102844,No,southafrica,-0.26118997,-24.624075,-10.102438,2,2
1154,-0.48662915,0.182210902,0.070940174,No,antonioguterres,8.228919,-12.592981,-17.867327,0,2
3516,-0.485994333,-0.089629444,0.179882544,No,development,-4.9544783,-27.773016,-9.687865,2,2
12943,-0.485793963,0.160080877,0.141266589,No,worldbank,9.070988,-14.055984,-18.928173,2,2
10033,-0.485619082,-0.326364363,0.037185614,No,reuters,-6.969512,-20.704702,-6.3780985,0,2
5875,-0.48544686,0.136012991,0.413533453,No,icmr,9.114254,-19.78434,-15.885932,2,2
9596,-0.485262143,-0.004676955,0.232266122,No,raises,-2.9971483,-24.979467,-19.279331,2,2
11382,-0.485164211,0.148999748,-0.055471676,No,supplychain,-4.2097683,-6.257481,-25.885803,0,2
9296,-0.484217251,0.072232153,0.025788419,No,procurement,-3.4669242,-8.842749,-21.145166,0,2
4899,-0.483711722,-0.018228731,0.216857338,No,french,1.328175,-17.285252,-18.418558,2,2
11240,-0.483311947,-0.107185196,-0.018222923,No,strategy,-6.864082,-11.191289,-20.175632,0,2
6718,-0.482483877,0.084395737,0.276806322,No,korea,8.571269,-14.590744,-19.409967,2,2
5,-0.482258429,-0.170168069,-0.034594714,No,01_the,-18.225079,-16.052296,-13.578493,0,2
4964,-0.481284194,0.033207607,0.160240696,No,funding,-3.7595816,-10.60431,-22.206053,2,2
3049,-0.480839483,0.118818789,0.574462997,No,covax,4.3967934,-18.157013,-20.78313,2,2
10794,-0.480213236,0.106502804,0.319384917,No,sl,6.999217,-16.093204,-16.120106,2,2
4776,-0.479319685,-0.060532739,-0.114294034,No,foggy,-20.748554,-8.559907,-17.13792,0,2
10888,-0.479160045,0.064403883,0.153690409,No,soft,6.501984,-14.63183,-16.962782,2,2
4817,-0.478719525,0.130416223,-0.021744299,No,forefront,3.3119261,-2.1080458,-26.413343,0,2
12224,-0.478318372,-0.016420674,0.249816097,No,undergone,-0.5761169,-24.715816,-17.76194,2,2
10636,-0.476603256,0.035068095,0.237106515,No,shipping,2.6050355,-17.075136,-16.416956,2,2
2295,-0.476163217,0.123373471,0.168006455,No,cdsco,0.1810706,-21.77936,-14.37553,2,2
4661,-0.476020643,-0.202237782,-0.077004799,No,filter,-20.921686,-8.855213,-16.57731,0,2
6110,-0.475996961,0.066817284,-0.051754039,No,industry,-9.594537,-9.010591,-23.624228,0,2
11987,-0.475882518,-0.126788101,-0.186235196,No,transparency,-5.460485,-6.3513083,-25.694315,0,2
10447,-0.475718548,0.206964551,0.100834851,No,sec,12.742051,-2.5253904,-26.18863,0,2
11506,-0.47533024,0.143360931,0.309266705,No,tafrishaala,11.460394,-14.027702,-19.889956,2,2
5123,-0.474931305,-0.097888572,-0.130233711,No,glasses,-20.820293,-8.592151,-16.977962,0,2
2353,-0.474116236,0.285327771,-0.10815977,No,challenges,-7.699785,17.564405,-21.503893,0,2
4197,-0.473013002,0.213295584,0.131077341,No,envoy,9.945959,-13.534456,-16.20328,2,2
2012,-0.472999902,0.080122463,-0.093786936,No,britains,-2.8613048,-8.416834,-16.918337,0,2
1535,-0.472387245,-0.076319173,0.329879882,No,banning,-0.84208673,-17.374268,-21.737371,2,2
6819,-0.472221501,0.262603271,0.163673683,No,launches,9.298028,-14.090852,-17.112099,2,2
3890,-0.47218573,0.12084473,0.430069107,No,drugmakers,3.5945454,-16.549755,-19.493952,2,2
841,-0.472028544,-0.158940237,0.426002644,No,african,13.792006,-25.781353,-1.581385,2,2
1333,-0.471975958,0.204629278,0.257769006,No,asset,12.798999,-11.681161,-20.303268,2,2
4084,-0.4712882,-0.122943062,0.156870534,No,emerged,-5.930026,-15.160087,-10.770114,0,2
7218,-0.470827829,-0.269095358,0.129790158,No,makers,-3.5316522,-17.67506,-18.70562,0,2
878,-0.470103599,-0.026153918,0.32783964,No,agreements,3.3880768,-18.233898,-18.016047,2,2
12886,-0.469485795,0.156939223,0.073895529,No,withheld,2.9956088,-20.343771,-14.116062,0,2
12009,-0.469375832,-0.091424256,-0.035468016,No,treason,-18.51118,-16.301157,-11.553214,0,2
9452,-0.469272643,-0.198429978,0.174515578,No,publish,-2.1860697,-22.146307,-13.636229,0,2
11777,-0.468919426,-0.201658533,-0.011567108,No,threat,-15.6601925,-15.10659,-10.9755745,0,2
11782,-0.46814934,-0.073980298,0.061210158,No,threats,-5.649617,-13.574584,-17.127209,0,2
1295,-0.468011205,-0.070915301,-0.031097621,No,artificial,-15.587487,-17.548035,-16.03293,0,2
2520,-0.467535259,-0.356109402,0.376932236,No,claims,-1.385893,-28.734348,-14.251436,2,2
9400,-0.467321006,-0.301611,0.162659309,No,proved,-2.7084548,-24.208336,-10.6103115,0,2
10479,-0.466852833,0.005684157,0.096789456,No,seek,3.1234267,-20.508913,-13.750211,0,2
3582,-0.46602508,0.147375847,0.226490154,No,diplomacy,12.853621,-9.492799,-18.60559,2,2
